NAME,nufus
Sa?l?k Mh.,48822
Gündo?du Mh.,46283
An?ttepe Mh.,46205
Ertu?rulgazi Mh.,44960
Eti Mh.,44530
Mebusevleri Mh.,43621
Yücetepe Mh.,41720
Emniyet Mh.,37465
Evliya Çelebi Mh.,36272
Ziraat Mh.,35841
Zübeyde Han?m Mh.,35626
Anafartalar Mh.,35397
Do?anbey Mh.,35243
Korkutreis Mh.,34023
Maltepe Mh.,33293
Fidanl?k Mh.,33098
Cumhuriyet Mh.,32790
Nasuh Akar Mh.,32364
Balgat Mh.,32339
Çukurambar Mh.,31765
K?z?l?rmak Mh.,31587
O?uzlar Mh.,31472
Ayd?nl?kevler Mh.,31401
Ahiler Mh.,31063
Alt?npark Mh.,30111
Fazilet Mh.,30077
Örnek Mh.,29222
Plevne Mh.,28503
Gökçenefe Mh.,28173
Server Somuncuo?lu Mh.,28079
1. Sultan Murat Mh.,27966
Kavac?k Subayevleri Mh.,27959
K?z?lay Mh.,27804
Nam?k Kemal Mh.,27723
Güçlükaya Mh.,27433
?enlik Mh.,26834
Karargahtepe Mh.,26320
Emrah Mh.,26015
?ncirli Mh.,25671
Esertepe Mh.,25655
Gümü?dere Mh.,25603
Gayret Mh.,25403
25 Mart Mh.,24894
Çaml?ca Mh.,24803
Macun Mh.,24661
U?ur Mumcu Mh.,24612
Kentkoop Mh.,24418
Bat? Sitesi Mh.,24291
Ergazi Mh.,24072
?nönü Mh.,23606
?ükriye Mh.,23534
Fakülteler Mh.,23389
Sakarya Mh.,22952
Toprakl?k Mh.,22933
Dilekler Mh.,22887
50. Y?l Mh.,22856
Akdere Mh.,22221
?ehit Cengiz Topel Mh.,22065
Demetgül Mh.,22033
Demetlale Mh.,21302
Demet Mh.,21299
Özevler Mh.,21108
Hac? Bayram Mh.,21088
Sancaktepe Mh.,20875
Yayla Mh.,20796
Kö?k Mh.,20618
Uyan?? Mh.,20453
Adnan Menderes Mh.,19785
23 Nisan Mh.,19503
Bademlik Mh.,19280
P?narba?? Mh.,19091
Gazi Mh.,19078
Güven Mh.,18569
Aziziye Mh.,18420
Güzeltepe Mh.,18389
Y?ld?zevler Mh.,18015
Hilal Mh.,18003
Osmangazi Mh.,17847
Atapark Mh.,17703
Ufuktepe Mh.,17610
Yeniça? Mh.,17607
Rag?p Tüzün Mh.,17387
Tepealt? Mh.,17332
Çar?? Mh.,17243
Esentepe Mh.,17088
Bar?? Mh.,17064
Anadolu Mh.,17052
Ergenekon Mh.,17403
Yunus Emre Mh.,17018
Ayval? Mh.,16938
Ye?ilevler Mh.,16597
Kar??yaka Mh.,16500
Güzelyaka Mh.,16323
Güventepe Mh.,16246
Bar??tepe Mh.,16234
Kayalar Mh.,16184
Kaletepe Mh.,16108
Pamuklar Mh.,16105
Burç Mh.,15929
?ehit Kubilay Mh.,15882
Yukar? Yahyalar Mh.,15805
Avc?lar Mh.,15799
Çi?demtepe Mh.,15734
Yükseltepe Mh.,15722
Ovac?k Mh.,15657
Ba?larba?? Mh.,15588
Aktepe Mh.,15563
Güzelyurt Mh.,15213
Ye?iltepe Mh.,15034
Kamil Ocak Mh.,14946
Hasköy Mh.,14805
Seyfi Demirsoy Mh.,14763
Güne?evler Mh.,14756
Ali Ersoy Mh.,14743
Gülp?nar Mh.,14651
Do?u Mh.,14361
Karakum Mh.,14357
Ulubey Mh.,14319
Çi?iltepe Mh.,14161
Battalgazi Mh.,14034
Hac?lar Mh.,13751
Önder Mh.,13632
Yavuz Selim Mh.,13571
Fatih Mh.,13469
Öncüler Mh.,13461
Orhangazi Mh.,13461
Çandarl? Mh.,13335
Gültepe Mh.,13290
Alt?nevler Mh.,13283
Çal??kanlar Mh.,13234
Abidinpa?a Mh.,13200
Gülseren Mh.,13139
Anayurt Mh.,12751
Demirlibahçe Mh.,12560
?afaktepe Mh.,12454
A??k Veysel Mh.,12415
Peyami Safa Mh.,12324
Çaml?k Mh.,12324
Alemda? Mh.,12187
Ba?p?nar Mh.,12166
Do?antepe Mh.,12091
Zülfaz?l Mh.,12082
Devlet Mh.,12061
Harbiye Mh.,12001
Ayranc? Mh.,11952
Kemal Zeytino?lu Mh.,11824
Atilla Mh.,11730
Özgürlük Mh.,11710
Hürriyet Mh.,11567
Sokullu Mh.,11560
Akta? Mh.,11520
Cemalbey Mh.,11516
Arka Toprakl?k Mh.,11472
?ncesu Mh.,11472
Öncebeci Mh.,11434
?leri Mh.,11412
Kültür Mh.,11403
Seyran Mh.,11223
T?naztepe Mh.,11192
Kocatepe Mh.,11158
Zafertepe Mh.,11147
Göktürk Mh.,11127
Mimar Sinan Mh.,11119
Me?rutiyet Mh.,11028
Kavakl?dere Mh.,10878
Esato?lu Mh.,10826
Küçükesat Mh.,10748
Do?u? Mh.,10669
Muhsin Ertu?rul Mh.,10445
Barbaros Mh.,10385
Remzi O?uz Mh.,10384
Gaziosmanpa?a Mh.,10196
Çankaya Mh.,10192
Sancak Mh.,10125
Türközü Mh.,10061
Metin Oktay Mh.,9852
Umut Mh.,9797
Bayraktar Mh.,9750
Murat Mh.,9737
100. Y?l Mh.,9733
Büyükesat Mh.,9731
Kaz?m Özalp Mh.,9667
Birlik Mh.,9662
?lkad?m Mh.,9622
A??kpa?a Mh.,9519
Boztepe Mh.,9517
Bademlidere Mh.,9474
Ba?c?lar Mh.,9468
??çi Bloklar? Mh.,9383
Öveçler Mh.,9368
Sokullu Mehmet Pa?a Mh.,9343
A?a?? Öveçler Mh.,9327
Yukar? Öveçler Mh.,9313
Cevizlidere Mh.,9307
Ayd?nlar Mh.,9302
?ehit Cevdet Özdemir Mh.,9163
?ehit Cengiz Karaca Mh.,9133
Naci Çak?r Mh.,9131
Osman Temiz Mh.,9118
Metin Akku? Mh.,9095
Yukar? Dikmen Mh.,9032
?lkbahar Mh.,9022
A?a?? Dikmen Mh.,8952
Ata Mh.,8866
Huzur Mh.,8864
Gökku?a?? Mh.,8777
Karap?nar Mh.,8763
Akp?nar Mh.,8671
Keklikp?nar? Mh.,8596
Malazgirt Mh.,8582
?lker Mh.,8471
Mürsel Uluç Mh.,8395
Kanuni Mh.,8362
?enyuva Mh.,8239
Be?ikkaya Mh.,8228
Ferudun Çelik Mh.,8196
Mehtap Mh.,8191
Kartaltepe Mh.,8105
Tuzluçay?r Mh.,8013
Ça?layan Mh.,8004
Misket Mh.,7963
Hüseyingazi Mh.,7941
Alt?a?aç Mh.,7893
Karaa?aç Mh.,7878
Bahçeleriçi Mh.,7617
Dutluk Mh.,7551
Bo?aziçi Mh.,7539
Üre?il Mh.,7343
?ahintepe Mh.,7316
?irintepe Mh.,7286
Fahri Korutürk Mh.,7243
Ak?emsettin Mh.,7235
?ahap Gürler Mh.,7235
Kaz?m Orbay Mh.,7138
Kutlu Mh.,7096
General Zeki Do?an Mh.,7031
Mutlu Mh.,6997
A?a?? ?mrahor Mh.,6956
Orta ?mrahor Mh.,6940
Ege Mh.,6928
Durali Al?ç Mh.,6921
Cengizhan Mh.,6874
Yukar? ?mrahor Mh.,6785
Ptt Evleri Mh.,6750
Araplar Mh.,6675
Dostlar Mh.,6600
Köstence Mh.,6563
Tepecik Mh.,6494
Mehmet Akif Ersoy Mh.,6459
Plevne Mh.,6408
Ak?emsettin Mh.,6257
?stasyon Mh.,6143
Tando?an Mh.,6137
Atatürk Mh.,6132
Mare?al Çakmak Mh.,6059
Ye?ilova Mh.,5994
Atakent Mh.,5928
Topçu Mh.,5875
Selçuklu Mh.,5849
Andiçen Mh.,5800
P?narba?? Mh.,5798
Malazgirt Mh.,5784
O?uzlar Mh.,5727
Osmanl? Mh.,5696
Ertu?rulgazi Mh.,5694
Ayy?ld?z Mh.,5681
Etiler Mh.,5645
30 A?ustos Mh.,5525
